# 2026-asicsmeta-full-1.mp4 · Face + Person · litert_npu
# passages=312 movedThrough=46 captured=33 chunks=14
# a track is one continuous sighting, not one person — bystanders are tracked, chunk boundaries split a runner in two, and there is no re-identification
chunk,track,firstUs,lastUs,durationUs,frames,firstX,firstY,lastX,lastY,velX,velY,speed,directionDeg,direction,displacement,closestToCentre,meanHeight,captured,photos
11,7,3600111,3866777,266666,3,0.2836,0.1278,0.2820,0.1333,0.0000,0.0000,0.0000,0.0,static,0.0058,0.4266,0.1500,0,0
11,8,3600111,3866777,266666,3,0.3523,0.1556,0.3508,0.1556,0.0000,0.0000,0.0000,0.0,static,0.0016,0.3748,0.2056,0,0
11,9,3600111,3866777,266666,3,0.1813,0.0750,0.1836,0.0750,0.0000,0.0000,0.0000,0.0,static,0.0023,0.5298,0.1278,0,0
11,10,3600111,3866777,266666,3,0.4195,0.1931,0.4180,0.1889,0.0000,0.0000,0.0000,0.0,static,0.0045,0.3160,0.2528,0,0
11,11,3600111,3866777,266666,3,0.0797,0.1042,0.0797,0.1069,0.0000,0.0000,0.0000,0.0,static,0.0028,0.5755,0.1083,0,0
11,12,4933444,4933444,0,1,0.9406,0.2722,0.9406,0.2722,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4960,0.3000,0,0
11,13,4933444,4933444,0,1,0.3508,0.1514,0.3508,0.1514,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3792,0.1972,0,0
11,14,4933444,4933444,0,1,0.1836,0.0722,0.1836,0.0722,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5321,0.1222,0,0
11,15,4933444,4933444,0,1,0.2805,0.1139,0.2805,0.1139,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4442,0.1389,0,0
11,16,4933444,4933444,0,1,0.4195,0.1944,0.4195,0.1944,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3160,0.2389,0,0
11,17,4933444,4933444,0,1,0.0797,0.1069,0.0797,0.1069,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5755,0.1083,0,0
11,18,5733444,6000111,266667,3,0.6742,0.3500,0.4203,0.4097,0.0000,0.0000,0.0000,0.0,L→R,0.2608,0.1189,0.7380,1,1
11,19,5733444,5866777,133333,2,0.3523,0.1556,0.3523,0.1556,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3748,0.2056,0,0
11,20,5733444,6000111,266667,3,0.2836,0.1278,0.2852,0.1333,0.0000,0.0000,0.0000,0.0,static,0.0058,0.4250,0.1722,0,0
11,21,5733444,6000111,266667,3,0.1820,0.0764,0.1836,0.0778,0.0000,0.0000,0.0000,0.0,static,0.0021,0.5276,0.1287,0,0
11,22,5733444,5866777,133333,2,0.4211,0.1917,0.4195,0.1917,0.0000,0.0000,0.0000,0.0,static,0.0016,0.3183,0.2556,0,0
11,23,6000111,6000111,0,1,0.9055,0.2194,0.9055,0.2194,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4931,0.2111,0,0
11,24,6800111,6800111,0,1,0.7781,0.2250,0.7781,0.2250,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3911,0.3056,0,0
11,25,6800111,6800111,0,1,0.2813,0.1250,0.2813,0.1250,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4341,0.1389,0,0
11,26,6800111,6800111,0,1,0.3523,0.1528,0.3523,0.1528,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3773,0.2000,0,0
11,27,6800111,6800111,0,1,0.1820,0.0778,0.1820,0.0778,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5286,0.1333,0,0
11,28,6800111,6800111,0,1,0.0812,0.1042,0.0812,0.1042,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5762,0.1028,0,0
11,29,6800111,6800111,0,1,0.4328,0.1250,0.4328,0.1250,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3810,0.1167,0,0
11,30,6800111,6800111,0,1,0.4242,0.1875,0.4242,0.1875,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3216,0.2472,0,0
11,31,8666888,8800222,133334,2,0.7031,0.2556,0.6500,0.2569,0.0000,0.0000,0.0000,0.0,static,0.0531,0.2856,0.3847,1,1
11,32,8666888,8800222,133334,2,0.3516,0.1528,0.3508,0.1528,0.0000,0.0000,0.0000,0.0,static,0.0008,0.3776,0.2000,0,0
11,33,8666888,9200222,533334,3,0.2836,0.1250,0.2836,0.1250,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4330,0.1500,0,0
11,34,8666888,8666888,0,1,0.1875,0.0750,0.1875,0.0750,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5275,0.1389,0,0
11,35,8666888,9200222,533334,3,0.0781,0.1042,0.0797,0.1069,0.0000,0.0000,0.0000,0.0,static,0.0032,0.5755,0.1065,0,0
11,36,9200222,9200222,0,1,0.3953,0.3236,0.3953,0.3236,0.0000,0.0000,0.0000,0.0,static,0.0000,0.2051,0.6472,0,0
11,37,10800222,10933555,133333,2,0.9180,0.2528,0.9055,0.2500,0.0000,0.0000,0.0000,0.0,static,0.0128,0.4763,0.2417,0,0
