# run4mins.mp4 · Face + Person · litert_npu · minFaceScore=0.6341 (logit 0.5500)
# weights sharpness=0.4 size=0.2 centre=0.15 confidence=0.15 framing=0.1
file,chunk,ptsUs,score,scoreLogit,sharpness,subjectRatio,quality,qSharpness,qSize,qCentre,qConfidence,qFraming,track
person_c032_3840000.jpg,32,243440000,0.7393,1.0423,78.53,0.0413,0.5972,0.5471,0.3445,0.5297,0.8667,1.0000,80
person_c032_3960000.jpg,32,243560000,0.7793,1.2617,96.33,0.0457,0.5994,0.5971,0.3811,0.4406,0.9136,0.8125,80
person_c033_3840000.jpg,33,250640000,0.8020,1.3988,85.18,0.0475,0.6181,0.5672,0.3958,0.4734,0.9402,1.0000,86
person_c033_3960000.jpg,33,250760000,0.8147,1.4811,87.65,0.0501,0.5714,0.5742,0.4178,0.3703,0.9551,0.5938,86
person_c033_4080000.jpg,33,250880000,0.7393,1.0423,124.15,0.0501,0.5506,0.6564,0.4178,0.2984,0.8667,0.2969,86
person_c033_4920000.jpg,33,251720000,0.7599,1.1520,66.27,0.0387,0.6144,0.5048,0.3225,0.7625,0.8908,1.0000,89
person_c033_5160000.jpg,33,251960000,0.7006,0.8503,87.44,0.0405,0.6030,0.5736,0.3371,0.5531,0.8214,1.0000,89
person_c033_5280000.jpg,33,252080000,0.7746,1.2343,107.21,0.0413,0.6197,0.6225,0.3445,0.4375,0.9080,1.0000,89
person_c034_7080000.jpg,34,261560000,0.7445,1.0697,132.00,0.0431,0.6619,0.6700,0.3591,0.6078,0.8728,1.0000,98
person_c034_7200000.jpg,34,261680000,0.8106,1.4537,184.69,0.0431,0.6902,0.7397,0.3591,0.5328,0.9503,1.0000,98
person_c034_7320000.jpg,34,261800000,0.8020,1.3988,247.95,0.0475,0.6814,0.7923,0.3958,0.4203,0.9402,0.8125,98
person_c036_1800000.jpg,36,271640000,0.7648,1.1794,85.42,0.0387,0.6049,0.5679,0.3225,0.5250,0.8966,1.0000,102
person_c036_1920000.jpg,36,271760000,0.7840,1.2891,113.72,0.0431,0.6171,0.6363,0.3591,0.4359,0.9191,0.8750,102
person_c036_2040000.jpg,36,271880000,0.7340,1.0148,122.82,0.0431,0.5717,0.6539,0.3591,0.3531,0.8605,0.5625,102
